이름,전화,주소,제품코드,제품명,수량
어피치,010-4584-6489,광주광역시 광산구 도산로 33,14,KASY 커피테이블,10
브이콘,010-7345-3156,부산광역시 서구 충무대로 56 송도 탑스빌 상가 3층,29,TIANO 전신거울,2
프로도,010-8643-5648,경기도 가평군 가평읍 경춘로 1745,12,NINO 원목유아침대,5
김무지,010-3489-8711,경기도 이천시 마장면 서이천로634번길 104-82,4,BONESEN 2인소파베드,2
이네오,010-9135-4812,경상남도 김해시 능동로 197,22,KRUSS 선반,5
제이지,010-4861-4886,인천광역시 계양구 길마로 33 미추홀 프라자,9,FRUGA 원목침대 더블,1
정튜브,010-4878-5499,대전광역시 대덕구 신탄진로 17,2,LILLBERG 1인소파,2
타노스,010-7849-0134,전라북도 전주시 덕진구 기린대로 101,5,BUGOK 3인소파,1
손주연,010-7088-4978,강원도 강릉시 임영로 10?,21,ESENI 선반/행거,9
추소정,010-0653-7842,강원도 춘천시 벌말길 49,11,DROI 원목이층침대,1
